title,description,category,price_type,price,age_range,address,latitude,longitude,image_url,image_source,date,time,phone,website,has_deal,deal_description,deal_expiry,tags,metro_area,schema_version
Ze's Diner,Kids eat free all day Wednesday with purchase of adult meal,meal_deals,Varies,,under 12,"Twin Cities, MN",44.9863418,-93.1794451,https://images.pexels.com/photos/5990494/pexels-photo-5990494.jpeg,curated_category,,,,https://zesdiner.com/,True,Kids eat free Wednesday with adult meal purchase,2026-12-31,"family-dining,kids,family,wednesday","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Chevys Fresh Mex,Mexican restaurant with Wednesday kids special,meal_deals,Paid,1.00,all ages,"2251 Killebrew Drive, Bloomington, MN 55425",44.8576,-93.2290,https://www.chevys.com/wp-content/uploads/2020/08/2-item-Combo-02-380x380.jpg,curated,,all day,,https://www.chevys.com/location/bloomington/,True,Kids' meals just $1 on Wednesdays with paid adult entrée,2026-12-31,"kids-eat-free,family-dining,wednesday,bloomington,kids,family,mexican","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Blaine Tableside Magician & Balloon Artist - Kids Eat Free,Restaurant event featuring live entertainment (tableside magician and balloon artist) with kids eat free promotion. Family dining experience.,meal_deals,Varies,Kids eat free (food purchase required),Kids,"11822 Aberdeen St NE, Blaine, MN",45.185031,-93.232936,https://images.pexels.com/photos/12557597/pexels-photo-12557597.jpeg,curated_category,2026-09-07,5:30 PM,,,True,Kids eat free with adult meal purchase,2026-09-07,"blaine,twin-cities,north-metro,family-dining,kids-eat-free,kids-menu,entertainment,character-dining,kids eat free","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Jersey's Bar and Grill,"Kids eat free with purchase of adult meal. Recurring weekly every Thursday, Inver Grove Heights location.",meal_deals,Varies,,kids,"Inver Grove Heights, MN",44.8479039,-93.0428119,https://images.pexels.com/photos/33858065/pexels-photo-33858065.jpeg,curated,,,,https://jerseysbar.com/,True,Kids eat free with adult meal purchase. Thursdays.,,"thursday,kids-eat-free,inver-grove-heights","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Rainforest Cafe Kids Meal Deal - First Wednesday,$0.99 kids meal on the first Wednesday of each month from 5 PM to close with purchase of adult entrée,meal_deals,Paid,$0.99 kids meal,kids,"Rainforest Cafe, Mall of America, Bloomington, MN",44.832240,-93.320487,https://images.getbento.com/accounts/3db889a3fca226b46ccb3927ec65f27d/media/images/1872_DSC9417.jpg,curated,2026-09-02,5:00 PM to close,,https://www.rainforestcafe.com/,True,$0.99 kids meal on first Wednesday of month from 5 PM to close with adult entrée purchase,,"Bloomington,paid,kids-eat-free,family-dining,restaurant,meal-deals,monthly","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Smashburger,"Kids 12 and under eat free every Wednesday in-store only with purchase of adult meal (entree, side, drink)",meal_deals,Varies,,under 12,"14059 Aldrich Ave S, Burnsville, MN",44.748645,-93.287924,https://sbprod-web-assets.s3.us-west-2.amazonaws.com/smashburger_location_a4272b5091_2f65ccac14.jpg,curated,,,,https://smashburger.com/,True,Kids eat free Wednesday with adult meal purchase,2026-12-31,"family-dining,kids,family,south-metro,wednesday","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Firehouse Subs,Free kids meal (up to two children) with adult entree purchase 5pm-8pm Wednesday,meal_deals,Varies,,under 12,"Twin Cities, MN",44.9863418,-93.1794451,https://images.pexels.com/photos/33858065/pexels-photo-33858065.jpeg,curated_category,,5:00 PM - 8:00 PM,,https://www.firehousesubs.com/,True,Kids eat free Wednesday 5pm-8pm with adult entree purchase,2026-12-31,"family-dining,kids,family,wednesday","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Downtown Burger Battle,Community event celebrating local restaurants' burger creations,meal_deals,Paid,,all ages,"Downtown Mankato, MN",44.165794,-94.005678,https://images.pexels.com/photos/31874024/pexels-photo-31874024.jpeg,curated_category,2026-09-12,,,,False,,,"mankato, family, community-fest, outstate/day-trip","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Green Mill,Kids meals free with paid adult entrée on Tuesday nights,meal_deals,Paid,,kids,"Twin Cities, MN",44.986342,-93.179445,https://images.pexels.com/photos/6068717/pexels-photo-6068717.jpeg,curated,,,,https://www.greenmill.com,True,Tuesday nights: Kids meals free with paid adult entrée,,"kids-eat-free,tuesday,pizza,family-dining,recurring,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
Sunshine Factory Bar & Grill,"Kids eat free Sundays after 4pm — one free kids' meal per adult regular-priced entrée, groups under 15",meal_deals,Paid,,kids,"4100 Vinewood Ln N, Plymouth, MN 55442",45.030136,-93.449237,https://images.pexels.com/photos/33858065/pexels-photo-33858065.jpeg,curated,,,,https://esunshinefactory.com/,True,"Kids eat free Sundays after 4pm — one free kids' meal per adult regular-priced entrée, groups under 15",,"kids-eat-free,recurring,sunday,plymouth,twin-cities","Minnesota Statewide (Twin Cities metro + Duluth, Rochester, St. Cloud, Mankato, Moorhead, Brainerd, Bemidji, Winona, Alexandria)",3.1
